0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:50 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:50 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:09:52 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:45 +0530] "GET /project1/aboutus HTTP/1.1" 200 12580
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:45 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:45 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:45 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:45 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:10:46 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:12:52 +0530] "GET /project1/aboutus HTTP/1.1" 200 12560
0:0:0:0:0:0:0:1 - - [28/May/2017:13:12:52 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:12:52 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:12:52 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:12:52 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:13:07 +0530] "GET /project1/aboutus HTTP/1.1" 200 12560
0:0:0:0:0:0:0:1 - - [28/May/2017:13:13:07 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:13:07 +0530] "GET /w3images/sailboat.jpg HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/May/2017:13:13:07 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:13:08 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:15:39 +0530] "GET /project1/aboutus HTTP/1.1" 200 12533
0:0:0:0:0:0:0:1 - - [28/May/2017:13:15:41 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:15:45 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:15:45 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:15:45 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:17:52 +0530] "GET /project1/aboutus HTTP/1.1" 200 12502
0:0:0:0:0:0:0:1 - - [28/May/2017:13:17:52 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:17:53 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:17:52 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:17:53 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:18:18 +0530] "GET /project1/aboutus HTTP/1.1" 200 12508
0:0:0:0:0:0:0:1 - - [28/May/2017:13:18:18 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:18:19 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:18:19 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:18:19 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:52 +0530] "GET /project1/homePage HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:52 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:52 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:52 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 74785
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:52 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:53 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:53 +0530] "GET /project1/resources/images/cy6.jpg HTTP/1.1" 200 62686
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:53 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:53 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /project1/aboutus HTTP/1.1" 200 12494
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:24:55 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /project1/aboutus HTTP/1.1" 200 12486
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /project1/resources/images/aub.jpg HTTP/1.1" 200 161716
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /project1/resources/images/gogreen2.png HTTP/1.1" 200 267017
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /w3images/avatar.jpg HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [28/May/2017:13:27:40 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [28/May/2017:13:28:22 +0530] "GET /project1/aboutus HTTP/1.1" 200 12485
