0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:00:12 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:53 +0530] "GET /project1/homePage HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:53 +0530] "GET /project1/resources/css/carouselsetting.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:53 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/cy5.jpg HTTP/1.1" 200 168182
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/cy2.jpg HTTP/1.1" 200 107257
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/cy3.jpg HTTP/1.1" 200 78530
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/cy4.jpg HTTP/1.1" 200 85122
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:05:54 +0530] "GET /project1/resources/images/cy1.jpg HTTP/1.1" 200 97947
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:00 +0530] "GET /project1/aboutus HTTP/1.1" 200 11037
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:00 +0530] "GET /project1/resources/css/background.css HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:00 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:00 +0530] "GET /project1/resources/js/googlemap.js HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:00 +0530] "GET /project1/resources/js/sidebar.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:01 +0530] "GET /project1/resources/images/neel.jpg HTTP/1.1" 200 107883
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:01 +0530] "GET /project1/resources/images/aus2.jpg HTTP/1.1" 200 1410270
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:01 +0530] "GET /project1/resources/images/sym.png HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:06 +0530] "GET /project1/all/product/productlist HTTP/1.1" 200 10977
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/css/custom.css HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/8.png HTTP/1.1" 200 65765
0:0:0:0:0:0:0:1 - - [16/Jun/2017:14:06:07 +0530] "GET /project1/resources/images/9.png HTTP/1.1" 200 39363
